,Adresse,Anzahl Bewertungen,Anzahl Sterne,Art der Unterkunft,Ausstattung,Gesamtnote,Hotelpersonal,Komfort,Lage,Land,Link zu Unterkunft,Name des Hotels,Ort,Preis/Leistung,Sauberkeit,Kanton
32,"Hofwisenstrasse 30, 8153 Rümlang, Schweiz", 5.495 ,3,Hotel,"7,4"," 7,7 ","7,8","7,5","8,0", Schweiz,https://www.booking.com/hotel/ch/zurich-airport.de.html,Holiday Inn Express Zürich Airport,"47.45190697,8.53712730","7,4","7,9",Zürich
33,"Zähringerstrasse 43, Stadtzentrum, 8001 Zürich, Schweiz", 1.143 ,3,Hotel,"8,2"," 8,5 ","8,7","8,4","9,3", Schweiz,https://www.booking.com/hotel/ch/rutli.de.html,Sorell Hotel Rütli,"47.37616450,8.54450874","7,7","8,8",Zürich
34,"Beethovenstrasse 21, Enge, 8002 Zürich, Schweiz", 272 ,5,Hotel,"8,8"," 8,8 ","9,1","9,0","9,1", Schweiz,https://www.booking.com/hotel/ch/park-hyatt-zurich.de.html,Park Hyatt Zurich,"47.36648205,8.53637226","7,6","9,2",Zürich
35,"Schiffbaustraße 13, Gewerbeschule, 8005 Zürich, Schweiz", 1.613 ,4,Hotel,"8,0"," 7,9 ","8,2","7,9","7,7", Schweiz,https://www.booking.com/hotel/ch/zurich-city-west.de.html,Novotel Zurich City West,"47.38921060,8.51674318","7,3","8,3",Zürich
36,"Löwenstrasse 34, Stadtzentrum, 8001 Zürich, Schweiz", 1.367 ,3,Hotel,"8,4"," 8,7 ","8,7","8,6","9,5", Schweiz,https://www.booking.com/hotel/ch/city-zurich.de.html,Hotel City Zürich Design & Lifestyle,"47.37492529,8.53636488","7,8","9,1",Zürich
37,"Marktgasse 17, Stadtzentrum, 8001 Zürich, Schweiz", 768 ,4,Hotel,"8,2"," 8,6 ","8,7","8,4","9,4", Schweiz,https://www.booking.com/hotel/ch/marktgasse.de.html,Marktgasse Hotel,"47.37201563,8.54374647","7,4","9,2",Zürich
38,"Hinterdorfstrasse 21, 8157 Dielsdorf, Schweiz", 121 ,3,Hotel,"8,4"," 8,6 ","9,0","8,5","8,5", Schweiz,https://www.booking.com/hotel/ch/restaurant-lowen.de.html,Hotel-Restaurant Löwen,"47.48365948,8.45509529","7,7","9,4",Zürich
39,"Dufourstrasse 4, Seefeld, 8008 Zürich, Schweiz", 582 ,4,Hotel,"8,3"," 8,7 ","9,0","8,5","9,4", Schweiz,https://www.booking.com/hotel/ch/europe.de.html,Romantik Hotel Europe,"47.36429245,8.54713999","7,7","9,1",Zürich
40,"Claridenstrasse 30, Enge, 8022 Zürich, Schweiz", 1.004 ,4,Hotel,"8,6"," 8,8 ","9,3","8,8","9,2", Schweiz,https://www.booking.com/hotel/ch/glaernischhof.de.html,Hotel Glärnischhof,"47.36756841,8.53731841","7,9","9,2",Zürich
41,"Seestrasse 856, 8706 Obermeilen, Schweiz", 590 ,3,Hotel,"8,0"," 8,3 ","8,6","7,9","8,8", Schweiz,https://www.booking.com/hotel/ch/hirschen-am-see.de.html,Hotel Hirschen am See,"47.26447571,8.65586199","7,7","8,9",Zürich
42,"Pfingstweidstrasse 100, Gewerbeschule, 8005 Zürich, Schweiz", 946 ,4,Hotel,"8,7"," 8,6 ","8,6","9,0","7,9", Schweiz,https://www.booking.com/hotel/ch/sheraton-za1-4rich.de.html,Sheraton Zürich Hotel,"47.39045447,8.51005912","8,1","9,0",Zürich
43,"Universitätsstrasse 101, Oberstrass, 8033 Zürich, Schweiz", 2.243 ,4,Hotel,"7,4"," 7,7 ","8,3","7,3","7,7", Schweiz,https://www.booking.com/hotel/ch/leonardo-boutique-hotel-rigihof-zurich.de.html,Leonardo Boutique Hotel Rigihof Zurich,"47.38410224,8.54816929","7,0","8,2",Zürich
44,"Walter Mittelholzerstrasse 6, 8152 Glattbrugg, Schweiz", 1.613 ,2,Hotel,"7,3"," 7,7 ","7,8","7,5","8,2", Schweiz,https://www.booking.com/hotel/ch/stay-zurich-airport.de.html,STAY@Zurich Airport,"47.43952550,8.56886550","7,5","7,9",Zürich
45,"Hamelirainstrasse 3, 8302 Kloten, Schweiz", 1.316 ,4,Hotel,"8,5"," 8,6 ","8,7","8,6","8,7", Schweiz,https://www.booking.com/hotel/ch/hotelallegrakloten.de.html,Hotel Allegra,"47.44852697,8.58485855","8,1","9,1",Zürich
46,"Marktgasse 49, 8404 Winterthur, Schweiz", 843 ,3,Hotel,"9,4"," 9,4 ","9,5","9,4","9,6", Schweiz,https://www.booking.com/hotel/ch/krone-winterthur.de.html,Sorell Hotel Krone,"47.49956025,8.72761846","8,7","9,7",Zürich
47,"Engimattstrasse 14, Enge, 8002 Zürich, Schweiz", 781 ,4,Hotel,"8,6"," 8,7 ","9,0","8,9","8,4", Schweiz,https://www.booking.com/hotel/ch/engimatt.de.html,Engimatt City & Garden Hotel,"47.35963046,8.52482736","7,9","9,2",Zürich
48,"Bahnhofstrasse 4, 8810 Horgen, Schweiz", 323 ,4,Hotel,"7,6"," 8,0 ","8,3","7,6","8,6", Schweiz,https://www.booking.com/hotel/ch/gtseehotelmeierhof.de.html,Hotel Meierhof,"47.26125206,8.59675884","7,3","8,5",Zürich
49,"Utoquai 47, Seefeld, 8008 Zürich, Schweiz", 625 ,4,Hotel,"7,8"," 8,1 ","8,4","8,1","8,9", Schweiz,https://www.booking.com/hotel/ch/steigenberger-bellerive-au-lac.de.html,Steigenberger Hotel Bellerive au Lac,"47.36214364,8.54762547","6,9","8,5",Zürich
50,"Buckhauserstrasse 34-36, Altstetten, 8048 Zürich, Schweiz", 1.590 ,4,Hotel,"8,8"," 8,5 ","8,7","8,8","7,3", Schweiz,https://www.booking.com/hotel/ch/placid-zurich.de.html,Placid Hotel Design & Lifestyle Zurich,"47.38361883,8.49267023","8,1","9,1",Zürich
51,"Zähringerstrasse 21, Stadtzentrum, 8001 Zürich, Schweiz", 1.675 ,3,Hotel,"8,2"," 8,5 ","8,9","8,2","9,0", Schweiz,https://www.booking.com/hotel/ch/zurcherhof.de.html,Best Western Plus Hotel Zürcherhof,"47.37501928,8.54457915","7,8","9,0",Zürich
52,"Seegartenstrasse 14, Seefeld, 8008 Zürich, Schweiz", 904 ,3,Hotel,"8,5"," 8,8 ","9,4","8,5","9,1", Schweiz,https://www.booking.com/hotel/ch/seegarten.de.html,Seegarten Swiss Quality Hotel,"47.36145370,8.54924485","8,1","9,3",Zürich
53,"Limmatquai 136, Stadtzentrum, 8001 Zürich, Schweiz", 1.425 ,3,Hotel,"7,3"," 8,0 ","8,2","7,5","9,2", Schweiz,https://www.booking.com/hotel/ch/limmatblick.de.html,Hotel Limmatblick,"47.37596107,8.54376778","7,1","8,4",Zürich
54,"Stockerstrasse 17, Enge, 8002 Zürich, Schweiz", 237 ,4,Hotel,"8,0"," 8,3 ","8,8","8,2","8,8", Schweiz,https://www.booking.com/hotel/ch/neues-schloss.de.html,Sheraton Zürich Neues Schloss Hotel,"47.36550194,8.53603497","7,2","8,8",Zürich
55,"Seefeldstr. 16, Seefeld, 8008 Zürich, Schweiz", 613 ,3,Hotel,"8,7"," 9,0 ","9,3","8,8","9,4", Schweiz,https://www.booking.com/hotel/ch/bed.de.html,Boutique Hotel NI-MO,"47.36409533,8.54880095","8,2","9,5",Zürich
56,"Orellistrasse 21, Zürichberg, 8044 Zürich, Schweiz", 787 ,4,Hotel,"8,3"," 8,5 ","8,6","8,5","9,2", Schweiz,https://www.booking.com/hotel/ch/sorellzurichberg.de.html,Sorell Hotel Zürichberg,"47.38253676,8.56697291","7,7","9,0",Zürich
57,"198 Josefstrasse, Gewerbeschule, 8005 Zürich, Schweiz", 403 ,,Aparthotel,"8,9"," 8,9 ","9,2","9,1","8,7", Schweiz,https://www.booking.com/hotel/ch/inside-five-grand-apartments.de.html,VIADUKT Apartments,"47.38660800,8.52381000","8,4","9,3",Zürich
58,"Mutschellenstrasse 6, Enge, 8002 Zürich, Schweiz", 374 ,,Aparthotel,"7,8"," 8,0 ","8,4","7,7","7,8", Schweiz,https://www.booking.com/hotel/ch/residence-mutschellen.de.html,Residence Mutschellen,"47.35429446,8.52682360","7,7","8,4",Zürich
59,"Oberer Graben 6, 8400 Winterthur, Schweiz", 466 ,3 Sterne,Gasthaus,"8,0"," 8,6 ","9,4","8,0","9,3", Schweiz,https://www.booking.com/hotel/ch/loge.de.html,Hotel Loge,"47.49861615,8.73130180","7,9","8,9",Zürich
60,"Technikumstrasse 12/14, 8400 Winterthur, Schweiz", 632 ,3,Hotel,"8,5"," 8,7 ","8,8","8,6","9,0", Schweiz,https://www.booking.com/hotel/ch/plaza-winterthur.de.html,Plaza Hotel Winterthur,"47.49807440,8.73043360","8,1","9,1",Zürich
61,"Splugenstrasse 2, Enge, 8002 Zürich, Schweiz", 250 ,5,Hotel,"8,5"," 8,7 ","9,2","8,9","8,6", Schweiz,https://www.booking.com/hotel/ch/alden-suite-hotel-splugenschloss-zurich.de.html,Alden Suite Hotel Splügenschloss Zurich,"47.36452409,8.53419162","8,0","9,1",Zürich
62,"Schöneggstrasse 31, Aussersihl, 8004 Zürich, Schweiz", 1.046 ,3 Sterne,Aparthotel,"8,2"," 8,3 ","8,6","8,3","7,7", Schweiz,https://www.booking.com/hotel/ch/rent-a-home-schoneggstrasse.de.html,iQ130 Apartment Hotel,"47.38048170,8.52572562","8,2","8,8",Zürich
63,"Zürcherstrasse 72, 8953 Dietikon, Schweiz", 394 ,3,Hotel,"7,6"," 8,0 ","8,3","7,6","8,2", Schweiz,https://www.booking.com/hotel/ch/sommerau-ticino.de.html,Sommerau-Ticino Swiss Quality Hotel,"47.40250490,8.40562999","7,6","8,5",Zürich
64,"Lagerhausstrasse 6, 8400 Winterthur, Schweiz", 50 ,3,Hotel,"8,1"," 8,7 ","8,9","8,1","9,4", Schweiz,https://www.booking.com/hotel/ch/primestay-winterthur.de.html,Work Life Residence by Primestay,"47.49775200,8.72547500","8,3","9,4",Zürich
65,"Heimstrasse 41, 8953 Dietikon, Schweiz", 242 ,4,Hotel,"6,7"," 7,0 ","7,7","6,8","6,8", Schweiz,https://www.booking.com/hotel/ch/conti.de.html,Conti Swiss Quality Hotel,"47.41260048,8.40229701","6,4","7,7",Zürich
66,"Lindenstrasse 32, Seefeld, 8008 Zürich, Schweiz", 154 ,,Aparthotel,"9,0"," 8,8 ","8,0","9,3","9,1", Schweiz,https://www.booking.com/hotel/ch/city-stay-furnished-apatments-lindenstrasse.de.html,City Stay Furnished Apartments - Lindenstrasse,"47.35787202,8.55296223","8,2","9,5",Zürich
67,"Feldeggstrasse 10, Seefeld, 8008 Zürich, Schweiz", 65 ,,Aparthotel,"9,5"," 9,6 ","9,8","9,7","9,8", Schweiz,https://www.booking.com/hotel/ch/stay-at-night.de.html,Stay at Night,"47.35920257,8.54891533","9,0","10,0",Zürich
68,"Huebwiesenstrasse 36, 8954 Geroldswil, Schweiz", 245 ,3,Hotel,"7,4"," 7,6 ","8,1","7,4","7,4", Schweiz,https://www.booking.com/hotel/ch/hostellerie-swiss-quality.de.html,Geroldswil Swiss Quality Hotel,"47.42211341,8.40966672","7,1","8,2",Zürich
69,"Kieselgasse 2, Seefeld, 8008 Zürich, Schweiz", 231 ,,Aparthotel,"9,0"," 8,9 ","8,9","9,0","8,8", Schweiz,https://www.booking.com/hotel/ch/city-stay-ag.de.html,City Stay Furnished Apartments - Kieselgasse,"47.35577680,8.55665900","8,1","9,4",Zürich
70,"Säumerstrasse 37, 8803 Rüschlikon, Schweiz", 353 ,4,Hotel,"9,2"," 9,0 ","9,0","9,1","9,2", Schweiz,https://www.booking.com/hotel/ch/belvoir.de.html,Belvoir Swiss Quality Hotel,"47.30606430,8.55015680","7,9","9,3",Zürich
71,"Hofwiesenstrasse 135, Unterstrass, 8057 Zürich, Schweiz", 16 ,,Aparthotel,"9,5"," 9,5 ","9,5","9,7","9,2", Schweiz,https://www.booking.com/hotel/ch/guggach-apartotel.de.html,Guggach Apartôtel,"47.39901270,8.53283133","9,1","9,8",Zürich
72,"Postfach 295, 8058 Kloten, Schweiz", 4.419 ,4,Hotel,"8,5"," 8,6 ","8,6","8,7","9,5", Schweiz,https://www.booking.com/hotel/ch/radisson-sas-zurich-airport.de.html,"Radisson Blu Hotel, Zurich Airport","47.45267236,8.56483251","7,4","8,8",Zürich
73,"Dorfstrasse 16, 8706 Meilen, Schweiz", 22 ,,Aparthotel,"8,5"," 8,4 ","8,3","9,0","8,2", Schweiz,https://www.booking.com/hotel/ch/tertianum-parkresidenz-meilen.de.html,Tertianum Parkresidenz Meilen,"47.26986556,8.63864878","7,8","8,8",Zürich
74,"Stockerstrasse 61, Stadtzentrum, 8002 Zürich, Schweiz", 4.639 ,3,Hotel,"8,4"," 8,8 ","8,9","8,8","9,0", Schweiz,https://www.booking.com/hotel/ch/motel-one-zurich.de.html,Motel One Zürich,"47.36930344,8.53322248","8,2","9,3",Zürich
75,"Bahnhofstrasse 3a, 8307 Effretikon, Schweiz",NaN,,Aparthotel,NaN,NaN,NaN,NaN,NaN, Schweiz,https://www.booking.com/hotel/ch/rubus-apartments.de.html,Rubus Apartments,"47.42410200,8.68525500",NaN,NaN,Zürich
76,"am Paradeplatz /Poststrasse 12, Stadtzentrum, 8027 Zürich, Schweiz", 605 ,5,Hotel,"8,6"," 8,9 ","9,0","8,9","9,6", Schweiz,https://www.booking.com/hotel/ch/savoy-baur-en-ville.de.html,Savoy Baur en Ville,"47.36972472,8.53973977","7,9","9,4",Zürich
77,"Ringstrasse 16, 8306 Brüttisellen, Schweiz", 5 ,,Aparthotel,"8,0"," 8,1 ","8,0","8,0","8,0", Schweiz,https://www.booking.com/hotel/ch/city-stay-furnished-apartments-ringstrasse.de.html,City Stay Furnished Apartments - Ringstrasse,"47.41694000,8.62534600","8,1","8,5",Zürich
78,"Flughofstrasse 45, 8152 Glattbrugg, Schweiz", 7.831 ,,Hotel,"7,2"," 7,7 ","8,0","7,1","8,1", Schweiz,https://www.booking.com/hotel/ch/ibis-budget-zurich-airport.de.html,ibis budget Zurich Airport,"47.43851800,8.56336700","7,4","8,3",Zürich
79,"22 Münchhaldenstrasse, Seefeld, 8008 Zürich, Schweiz",NaN,,Gasthaus,NaN,NaN,NaN,NaN,NaN, Schweiz,https://www.booking.com/hotel/ch/zurich-apartments-lakeside.de.html,Zurich Apartments Lakeside,"47.35471980,8.55858400",NaN,NaN,Zürich
80,"52 Hofwisenstrasse, 8153 Rümlang, Schweiz", 549 ,3,Hotel,"7,4"," 7,9 ","8,0","7,6","8,1", Schweiz,https://www.booking.com/hotel/ch/b-amp-b-zurich-airport.de.html,B&B Hotel Zürich Airport,"47.44971100,8.54022100","7,6","8,5",Zürich
81,"Kurhausstrasse 65, Zürichberg, 8032 Zürich, Schweiz", 430 ,5,Hotel,"9,4"," 9,2 ","9,3","9,5","9,2", Schweiz,https://www.booking.com/hotel/ch/the-dolder-grand.de.html,The Dolder Grand,"47.37270970,8.57312322","8,2","9,6",Zürich
82,"Technoparkstrasse 2, Gewerbeschule, 8005 Zürich, Schweiz", 3.212 ,1-Stern-Hotel,Hotel,"6,8"," 7,3 ","7,9","6,7","7,7", Schweiz,https://www.booking.com/hotel/ch/ibis-budget-zurich-city-west.de.html,ibis budget Zurich City West,"47.38905930,8.51718613","7,1","7,9",Zürich
83,"Gmeindrütistrasse 1c, 8630 Rüti, Schweiz", 28 ,,Hotel,"7,5"," 7,9 ","8,1","7,9","7,7", Schweiz,https://www.booking.com/hotel/ch/noah.de.html,Noah Hotel,"47.26176100,8.86569100","7,6","8,7",Zürich
84,"Oetenbachgasse 13, Stadtzentrum, 8001 Zürich, Schweiz", 16 ,3,Hotel,"9,7"," 9,9 ","9,8","10,0","10,0", Schweiz,https://www.booking.com/hotel/ch/herzkammer.de.html,Boutique Hotel Herzkammer,"47.37382382,8.53944159","9,5","10,0",Zürich
85,"Brandschenkenstrasse 152, Enge, 8002 Zürich, Schweiz", 720 ,4,Hotel,"9,3"," 9,1 ","9,6","9,4","8,6", Schweiz,https://www.booking.com/hotel/ch/b2-boutique.de.html,B2 Boutique Hotel + Spa,"47.36446504,8.52453634","8,1","9,7",Zürich
86,"Kempttalstrasse 58, 8320 Fehraltorf, Schweiz", 229 ,,Hotel,"8,4"," 8,3 ","8,2","8,5","7,9", Schweiz,https://www.booking.com/hotel/ch/gasthof-zum-hecht.de.html,Gasthof zum Hecht,"47.38711113,8.75329926","7,9","8,9",Zürich
87,"Stauffacherquai 1, Aussersihl, 8004 Zürich, Schweiz", 586 ,3,Hotel,"8,5"," 8,8 ","9,2","8,5","9,1", Schweiz,https://www.booking.com/hotel/ch/helvetia.de.html,Boutique Hotel Helvetia,"47.37325282,8.53169516","7,9","9,2",Zürich
88,"Hohenbuehlstrasse 10, 8152 Opfikon, Schweiz", 431 ,,Hotel,"7,6"," 7,7 ","8,0","7,9","7,9", Schweiz,https://www.booking.com/hotel/ch/hilton-zurich-airport.de.html,Hilton Zurich Airport,"47.43704677,8.57159704","6,9","8,1",Zürich
89,"Schützengasse 7, Stadtzentrum, 8001 Zürich, Schweiz", 659 ,3,Hotel,"8,1"," 8,6 ","9,0","8,3","9,6", Schweiz,https://www.booking.com/hotel/ch/townhouse-boutique.de.html,Townhouse Boutique Hotel,"47.37623988,8.54008645","7,7","8,9",Zürich
90,"Hofwisenstrasse 4, 8153 Rümlang, Schweiz", 544 ,3,Hotel,"8,7"," 8,8 ","8,9","8,8","8,4", Schweiz,https://www.booking.com/hotel/ch/jet-rumlang.de.html,Jet Hotel Zurich Airport,"47.45425900,8.53480900","8,7","9,5",Zürich
